step,loss
1,8.507618801591565
50,5.487741892309213
100,5.286912262298388
150,4.85290401837713
200,4.9381180201378925
250,4.7409574433738255
300,4.985317485804318
350,4.991701728444376
400,4.640474076479581
450,4.589608068118963
500,4.9819854699642345
550,4.828034783398375
600,5.0059922961263394
650,5.24769635397024
700,5.046688531754888
750,4.679638164123345
800,5.022931805119333
850,5.350211923372834
900,5.096402815382191
950,5.233701285171669
1000,4.600239609716262
1050,4.912233101607216
1100,4.626559306209888
1150,4.96512477445113
1200,5.011288215445626
1250,4.708405813851726
1300,5.269608110391603
1350,4.598388568785161
1400,5.277806486292315
1450,5.066877663845538
1500,5.05153119017989
1550,5.100904501629509
1600,5.070626186293585
1650,5.03535894846497
1700,4.739242063825031
1750,4.939464518480936
1800,5.238525976276044
1850,4.929595589575437
1900,4.99086691368351
1950,4.589701411316618
2000,4.657513879854862
2050,4.726652531896905
2100,4.966304613653888
2150,5.002601418591585
2200,5.09028861500078
2250,4.586190387577552
2300,4.792147705693106
2350,4.611054905575031
2400,4.5354231702840435
2450,4.734413570140867
2500,4.822783240133678
