step,loss
1,10.347080552121955
400,5.066244333226237
800,4.973280665481848
1200,4.661045171492743
1600,4.930862949039837
2000,5.07721869875085
2400,4.6808938064125964
2800,4.80345397403174
3200,5.12073367708906
3600,4.754856566793286
4000,4.528065062675416
4400,4.455125578122611
4800,5.169474470528495
5200,4.81844128508803
5600,4.697077306320206
6000,5.08905719918338
6400,4.767967908467179
6800,4.831673205628709
7200,4.663419142180185
7600,4.502588541402387
8000,4.897588596083196
8400,4.884507691198615
8800,4.8774047899193524
9200,5.01457759697065
9600,4.6972557138802795
10000,4.544691813664526
10400,4.736343991044299
10800,4.5963285271703285
11200,4.634638593734949
11600,4.416805872890993
12000,4.2094778355425735
12400,4.633424439286382
12800,4.791237421289159
13200,4.648760614683795
13600,4.7936201773137785
14000,4.962200812351675
14400,4.595570847491265
14800,4.692724101394258
15200,4.204612152574282
15600,4.4889760449904355
16000,4.900768289777695
16400,4.388568877020198
16800,4.458719712889866
17200,4.743839609031031
17600,4.762282821643702
18000,4.381333457074086
18400,4.7254915982995875
18800,5.0909955962775655
19200,4.744904272057433
19600,4.714936274754539
20000,4.782198533891102
