step,loss
1,8.507618801591565
6,6.646231469903314
12,6.271039197606672
18,5.847665076705649
24,5.531736289896317
30,5.333500303627487
36,5.882963752264557
42,5.31150329433689
48,6.174417531190057
54,5.385943122865951
60,5.485147615592668
66,5.5012065938202355
72,5.413176116634035
78,5.457233602985837
84,4.953844601411358
90,4.930329792097442
96,4.963844045594989
102,5.39305147286535
108,5.0725933608729825
114,5.408179628604877
120,5.314861356335804
126,5.113374719673605
132,5.318810450550581
138,5.129166423012686
144,4.619261753101397
150,4.85290401837713
156,5.266872884335015
162,4.909799249064573
168,4.974747289049761
174,4.969984813352175
180,5.144569878396183
186,5.159778569824771
192,5.197144154515749
198,4.960029466943601
204,5.461198131315703
210,5.019404876777907
216,4.9655772724207985
222,5.131599118658853
228,4.6159065873680705
234,4.75048049721303
240,4.968018146165632
246,5.094096759128037
252,4.966981055535152
258,4.949361246932331
264,4.82051254654096
270,5.063862810632016
276,5.221506385744062
282,5.09449819405305
288,5.3037951630833335
294,5.093866647092996
300,4.985317485804318
